à 	7
ralliât	r a ly~ i o t
ralliâtes	r a ly~ i a t i m 3 s
rallie	r a ly~ i e
rallié	r a ly~ i e
ralliée	r a ly~ i a j
ralliées	r a ly~ i e m 3 s
ralliement	r a ly~ i E m E n t
ralliements	r a ly~ i E m E nt~ u
rallient	r a ly~ i e n t
rallier	r a ly~ i e r
ralliera	r a ly~ i e r a
rallierai	r a ly~ i e r a i n
rallieraient	r a ly~ i e r a i n
rallierais	r a ly~ i e r a i s
rallierait	r a ly~ i e r a i t
rallieras	r a ly~ i a a s
rallièrent	r a ly~ i e r e n t
rallierez	r a ly~ i e r a
rallieriez	r a ly~ i e r i
rallierions	r a ly~ i e r i o* s
rallierons	r a ly~ i e r o* s
rallieront	r a ly~ i e r o n s
rallies	r a ly~ i e
ralliés	r a ly~ i e
ralliez	r a ly~ i e z
ralliiez	r a ly~ i e z
ralliions	r a ly~ i o* s
rallions	r a ly~ i o* s
rallonge	r a l o n g e
rallongé	r a l l o N e
rallongea	r a l l o N e a
rallongeai	r a l o n g 3 a i
rallongeaient	r a l o n g 3 a
rallongeais	r a l o n g 3 a i s
rallongeait	r a l o n g 3 a i t
rallongeâmes	r a l o n g 3  m 3 s
rallongeant	r a l o n g 3 i
rallongeas	r a l o n g 3 3 s
rallongeasse	r a l l o N E s d s e
rallongeassent	r a l o n g 3 n i o n t
rallongeasses	r a l o n g 3 n i e
rallongeassiez	r a l l o N E s d s i e z
rallongeassions	r a l l o N E s d b o* s
rallongeât	r a l o n g 3 o t
rallongeâtes	r a l o n g 3 a t i m 3 s
rallongée	r a l l o N a j
rallongées	r a l l o N e m 3 s
rallongent	r a l l o N E n t
rallongeons	r a l o n g 3 o* s
rallonger	r a l l o N e r
rallongera	r a l l o N E r a
rallongerai	r a l l o N e r a i n
rallongeraient	r a l l o N e r a i n
rallongerais	r a l o n g 3 r a i s
rallongerait	r a l o n g 3 r a i t
rallongeras	r a l l o N a a s
rallongèrent	r a l l o N e r e n t
rallongerez	r a l l o N e r a
rallongeriez	r a l l o N e r i
rallongerions	r a l l o N e r i o* s
rallongerons	r a l l o N e r o* s
rallongeront	r a l l o N e r o n s
rallonges	r a l l o N 3 s a
rallongés	r a l l o N e
rallongez	r a l l o N e z
rallongiez	r a l l o N i e z
rallongions	r a l l o N i o* s
ralluma	r a L u m a
rallumai	r a L u m a i
rallumaient	r a L u m a
rallumais	r a L u m a i s
rallumait	r a L u m a i t
rallumâmes	r a L u m o 8 i m 3 s
rallumant	r a L u
rallumas	r a L u m a s
rallumasse	r a L u m a s s e
rallumassent	r a L u m a s o n t
rallumasses	r a L u m a s e
rallumassiez	r a L u m a s s i e z
rallumassions	r a L u m a s s i o* s
rallumât	r a L u m o t
rallumâtes	r a L u m o t e
rallume	r a L u
rallumé	r a L u m e
rallumée	r a L u m a j
rallumées	r a L u m u m 3 s
rallument	r a L u m e n t
rallumer	r a L u m e r
rallumera	r a L u m e r a
rallumerai	r a L u m e r a i n
rallumeraient	r a L u m e r a i n
rallumerais	r a L u m e r a i s
rallumerait	r a L u m e r a i t
rallumeras	r a L u * a s
rallumèrent	r a L u m 3 r e n t
rallumerez	r a L u m e r a
rallumeriez	r a L u m e r i e z
rallumerions	r a L u m e r i o* s
rallumerons	r a L u m e r o* s
rallumeront	r a L u m e r o n s
rallumes	r a L u 8 i m 3 s
rallumés	r a L u m u
rallumez	r a L u m e z
rallumiez	r i h i m i e z
rallumions	r i h i m i o* s
rallumons	r a L u m o* s
rallye	r a ly~
rallyes	r a ly~ i
râlons	r o l o* s
rama	r a m a
ramadan	r a m a d a n
ramadans	r a m a d a
ramage	r a m a g e
ramages	r a m a g e
ramai	r a m a i
ramaient	r a m a
ramais	r a m a i s
ramait	r a m a i t
ramâmes	r a m o 8 i m 3 s
ramant	r a m a n t
ramas	r a m a s
ramassa	r a m a k s a
ramassage	r a m a k s a g e
ramassages	r a m a k s a g a
ramassai	r a m a k s a i
ramassaient	r a m a k s e i e n t
ramassais	r a m a k s e i s
ramassait	r a m a k s a i t
ramassâmes	r a m a k s  m 3 s
ramassant	r a m a k s i
ramassas	r a m a k s a s
ramassasse	r a m a k p u n i e
ramassassent	r a m a k p u n i o n t
ramassasses	r a m a k p u n i e
ramassassiez	r a m a k p u n i i e z
ramassassions	r a m a k p u n i i o* s
ramassât	r a m a k s o t
ramassâtes	r a m a k s a t i m 3 s
ramasse	r a m a k s e
ramassé	r a m a s
ramasse-miettes	r a m a k s g u r e e t i
ramassée	r a m a k s a j
ramassées	r a m a k s e m 3 s
ramassent	r a m a s o n t
ramasser	r a m a s e r
ramassera	r a m a s e r a
ramasserai	r a m a s e r a i n
ramasseraient	r a m a s e r a i n
ramasserais	r a m a s e r a i s
ramasserait	r a m a s e r a i t
ramasseras	r a m a k s a s
ramassèrent	r a m a k s e r e n t
ramasserez	r a m a s e r a
ramasseriez	r a m a s e r i
ramasserions	r a m a s e r i o* s
ramasserons	r a m a s e r o* s
ramasseront	r a m a s e r o n s
ramasses	r a m a s e
ramassés	r a m a k s e
ramassette	r a m a s e t
ramassettes	r a m a s e t i
ramasseur	r a m a k s u r
ramasseurs	r a m a k s u r
ramasseuse	r a m a k s u s e
ramasseuses	r a m a k s e
ramassez	r a m a k s e m u
ramassiez	r a m a s s i e z
ramassions	r a m a s s i o* s
ramassis	r a m a s s i s
ramassoire	r a m e a d a m i r
ramassons	r a m e a d a m i
ramât	r a m o t
ramâtes	r a m o t e
rambarde	r a m b a r d e
rambardes	r a m b a r b
ramdam	r a m d a m
ramdams	r a m d a m
rame	r a m e
ramé	r a m e
rameau	r a m e a u
ramée	r a m a j
ramées	r a m u m 3 s
ramena	r a m e n a
ramenai	r a m E n a i
ramenaient	r a m E n a i e n t
ramenais	r a m E n a i s
ramenait	r a m E n a i t
ramenâmes	r a m E n a 8 i m 3 s
ramenant	r a m E n a nt~
ramenas	r a m E n 3 s
ramenasse	r a m E n a s s e
ramenassent	r a m E n a s o n t
ramenasses	r a m E n a s e
ramenassiez	r a m E n a s s i e z
ramenassions	r a m E n a s s i o* s
ramenât	r a m E n o t
ramenâtes	r a m E n a t i m 3 s
ramène	r a m 3 n e
ramené	r a m E n e
ramenée	r a m E n a j
ramenées	r a m E n e m 3 s
ramènent	r a m 3
ramener	r a m 3 n 3 q
ramènera	r a m 3 n e r a
ramènerai	r a m 3 n e r a i n
ramèneraient	r a m 3 n e r a i n
ramènerais	r a m 3 n e r a i s
ramènerait	r a m 3 n e r a i t
ramèneras	r a m 3 a gw~ a a s
ramenèrent	r a m E n e r e n t
ramènerez	r a m 3 n e r a
ramèneriez	r a m 3 n e r i
ramènerions	r a m 3 n e r i o* s
ramènerons	r a m 3 n e r o* s
ramèneront	r a m 3 n e r o n s
ramènes	r a m 3 n i
ramenés	r a m E n e
ramenez	r a m E n e z
rameniez	r a m e z
ramenions	r a m E n i o* s
ramenons	r a m E n o* s
rament	r a m E n t
ramequin	r a m e k i n
ramequins	r a m e k i n
ramer	r a m e r
ramera	r a m E r a
ramerai	r a m e r a i n
rameraient	r a m e r a i n
ramerais	r a m e r a i s
ramerait	r a m e r a i t
rameras	r a * a s
ramèrent	r a m 3 r e n t
ramerez	r a m e r a
rameriez	r a m e r i e z
ramerions	r a m e r i o* s
ramerons	r a m e r o* s
rameront	r a m e r o n s
rames	r a 8 i m 3 s
ramés	r a m u
ramette	r a m e t
ramettes	r a m e t i
rameur	r a m e u r
rameurs	r a m e u r
rameuse	r a m e u s e
rameuses	r a m e e
rameuta	r a m e u t a
rameutai	r a m e u t a i
rameutaient	r a m e u t 3
rameutais	r a m e u t a i s
rameutait	r a m e u t a i t
rameutâmes	r a m e u  8 i m 3 s
rameutant	r a m e u t a nt~
rameutas	r a m e u t o s
rameutasse	r a m e u t a s s e
rameutassent	r a m e u t a s o n t
rameutasses	r a m e u t a s e
rameutassiez	r a m e u t a s s i e z
rameutassions	r a m e u t a s s i o* s
rameutât	r a m e u t o t
rameutâtes	r a m e u  t e
rameute	r a m e u t e
rameuté	r a m e 7 a
rameutée	r a m e u t E e
rameutées	r a m e u n m 3 s
rameutent	r a m e u t e n t
rameuter	r a m e u t e r
rameutera	r a m e u t E r a
rameuterai	r a m e u t e r a i n
rameuteraient	r a m e u t e r a i n
rameuterais	r a m e u t E r a i s
rameuterait	r a m e u t E r a i t
rameuteras	r a m e u t a a s
rameutèrent	r a m e u t 3 7 r e n t
rameuterez	r a m e u t e r a
rameuteriez	r a m e u t E r i
rameuterions	r a m e u t E r i o* s
rameuterons	r a m e u t E r o* s
rameuteront	r a m e u t E r o n s
rameutes	r a m e u t e
rameutés	r a m e u n
rameutez	r a m e u t e z
rameutiez	r a m e u t i e z
rameutions	r a m e u t i o* s
rameutons	r a m e u t o* s
ramez	r a m e z
rami	r a m i
ramier	r a m i e r
ramiers	r a m i e r
ramiez	r a m i a
ramifia	r a m i f i a
ramifiai	r a m i f i a i
ramifiaient	r a m i b u Ng~
ramifiais	r a m i f i a i s
ramifiait	r a m i f i a i t
ramifiâmes	r a m   m 3 s
ramifiant	r a m  i
ramifias	r a m i f i a s
ramifiasse	r a m i f i a s s e
ramifiassent	r a m  n i o n t
ramifiasses	r a m  n i e
ramifiassiez	r a m i f i a s s i e z
ramifiassions	r a m i f i a s s i o* s
ramifiât	r a m  o t
ramifiâtes	r a m  a t i m 3 s
ramification	r a m i f i k a t i o n 3
ramifications	r a m i f i k a t i o* s
ramifie	r a m i f i e
ramifié	r a m i f i e
ramifiée	r a m  a j
ramifiées	r a m  e m 3 s
ramifient	r a m
ramifier	r a m i f i e r
ramifiera	r a m i f i e r a
ramifierai	r a m i f i e r a i n
ramifieraient	r a m i f i e r a i n
ramifierais	r a m i f i e r a i s
ramifierait	r a m i f i e r a i t
ramifieras	r a m  a a s
ramifièrent	r a m  e r e n t
ramifierez	r a m i f i e r a
ramifieriez	r a m i f i e r i
ramifierions	r a m i f i e r i o* s
ramifierons	r a m i f i e r o* s
ramifieront	r a m i f i e r o n s
ramifies	r a m  m 3 s
ramifiés	r a m  e
ramifiez	r a m i f i e z
ramifiiez	r a m i f i e z
ramifiions	r a m i f i o* s
ramifions	r a m  o* s
ramille	r a m i l l e
ramilles	r a m i l l e
ramions	r a m i o* s
ramis	r a m i s a
ramolli	r a m o ly~ i
ramollie	r a m o ly~ i e
ramollies	r a m o ly~ i e
ramollîmes	r a m o ly~ 3 8 i m 3 s
ramollir	r a m o ly~ i r
ramollira	r a m o ly~ i r a
ramollirai	r a m o ly~ i r a i
ramolliraient	r a m o ly~ i r a
ramollirais	r a m o ly~ i r a i s
ramollirait	r a m o ly~ i r a i t
ramolliras	r a m o ly~ i a s
ramollirent	r a m o ly~ i r e n t
ramollirez	r a m o ly~ i r e z
ramolliriez	r a m o ly~ i r i
ramollirions	r a m o ly~ i r i o* s
ramollirons	r a m o ly~ i r o* s
ramolliront	r a m o ly~ i r o n s
ramollis	r a m o ly~ i s
ramollissaient	r a m o ly~ i s s e i e n t
ramollissais	r a m o ly~ i s s e i s
ramollissait	r a m o ly~ i 7 a i t
ramollissant	r a m o ly~ i 7 i
ramollisse	r a m o ly~ i s s e
ramollissement	r a m o ly~ i 7 E m E n t
ramollissements	r a m o ly~ i 7 E m E nt~ u
ramollissent	r a m o ly~ i s o n t
ramollisses	r a m o ly~ i s e
ramollissez	r a m o ly~ i s e z
ramollissiez	r a m o ly~ i s s i e z
ramollissions	r a m o ly~ i s s i o* s
ramollissons	r a m o ly~ i 7 o* s
ramollit	r a m o ly~ i t
ramollît	r a m o ly~ i S t i
ramollîtes	r a m o ly~ i S t i m 3 s
ramollo	r a m o l o
ramollos	r a m o ly~ o s
ramona	r a m o n a
ramonage	r a m o n a g e
ramonages	r a m o n a g e
ramonai	r a m o n a i
ramonaient	r a m o n a i e n t
ramonais	r a m o n a i s
ramonait	r a m o n a i t
ramonâmes	r a m o n a 8 i m 3 s
ramonant	r a m o* i
ramonas	r a m o n a s
ramonasse	r a m o n a s s e
ramonassent	r a m o* n i o n t
ramonasses	r a m o* n i e
ramonassiez	r a m o n a s s i e z
ramonassions	r a m o n a s s i o* s
ramonât	r a m o* o t
ramonâtes	r a m o n a t i m 3 s
ramone	r a m o* e
ramoné	r a m o* e
ramonée	r a m o* a j
ramonées	r a m o* e m 3 s
ramonent	r a m o*
ramoner	r a m o* e r
ramonera	r a m o* e r a
ramonerai	r a m o* e r a i n
ramoneraient	r a m o* e r a i n
ramonerais	r a m o* e r a i s
ramonerait	r a m o* e r a i t
ramoneras	r a m o* a a s
ramonèrent	r a m o* e r e n t
ramonerez	r a m o* e r a
ramoneriez	r a m o* e r i
ramonerions	r a m o* e r i o* s
ramonerons	r a m o* e r o* s
ramoneront	r a m o* e r o n s
ramones	r a m o* m 3 s
ramonés	r a m o* e
ramoneur	r a m o* e u r
ramoneurs	r a m o* e u r
ramonez	r a m o* e z
ramoniez	r a m o* i e z
ramonions	r a m o* i o* s
ramonons	r a m o* o* s
ramons	r a m o* s
rampa	r a m p a
rampai	r a m a i
rampaient	r a m a
rampais	r a m a i s
rampait	r a m a i t
rampâmes	r a m  m 3 s
rampant	r a m a nt~
rampante	r a m a n t e
rampantes	r a m a nt~ m 3 s
rampants	r a m a n c
rampas	r a m a s
rampasse	r a mp~ a s s e
rampassent	r a mp~ a s o n t
rampasses	r a mp~ a s e
rampassiez	r a mp~ a s s i e z
rampassions	r a mp~ a s s i o* s
rampât	r a m o t
rampâtes	r a m a t i m 3 s
rampe	r a m p e
rampé	r a m e
rampée	r a m a j
rampées	r a m e m 3 s
rampent	r a m p e n t
ramper	r a m p e r
rampera	r a m p e r a
ramperai	r a m p e r a i n
ramperaient	r a m p e r a i n
ramperais	r a m p e r a i s
ramperait	r a m p e r a i t
ramperas	r a m a a s
rampèrent	r a m p e r e n t
ramperez	r a m p e r a
ramperiez	r a m p e r i
ramperions	r a m p e r i o* s
ramperons	r a m p e r o* s
ramperont	r a m p e r o n s
rampes	r a m p e 7 e s
rampés	r a m e
rampez	r a m p e z
rampiez	r a f u k a
rampions	r a f u k o* s
rampon	r a m p o n
rampons	r a m o* s
ramure	r a m u r e
ramures	r a m u r e
rancard	r a n k a r d
rancarda	r a n C i d a
rancardai	r a n C i d a i
rancardaient	r a n C i d a
rancardais	r a n C i d a i s
rancardait	r a n C i d a i t
rancardâmes	r a n C i d o 8 i m 3 s
rancardant	r a n C i a z i
rancardas	r a n C i d 3 s
rancardasse	r a n C i d a s s e
rancardassent	r a n C i d a s o n t
rancardasses	r a n C i d a s e
rancardassiez	r a n C i d a s s i e z
rancardassions	r a n C i d a s s i o* s
rancardât	r a n C i d o t
rancardâtes	r a n C i d a t i m 3 s
rancarde	r a n C i d e
rancardé	r a n C i d 3 7
rancardée	r a n C i d a j
rancardées	r a n C i d 3 7 m 3 s
rancardent	r a n C i b a 5 a
rancarder	r a n C i d e r
rancardera	r a n C i d e r a
rancarderai	r a n C i d e r a i n
rancarderaient	r a n C i d e r a i n
rancarderais	r a n C i d e r a i s
rancarderait	r a n C i d e r a i t
rancarderas	r a n C i b a s
rancardèrent	r a n C i d e r e n t
rancarderez	r a n C i d e r a
rancarderiez	r a n C i d i n i e z
rancarderions	r a n C i d i n i o* s
rancarderons	r a n C i d i n o* s
rancarderont	r a n C i d e r o n s
rancardes	r a n C i b
rancardés	r a n C i d 3 7
rancardez	r a n C i d e z
rancardiez	r a n C i d i e z
rancardions	r a n C i dy~ o* s
rancardons	r a n C i d o* s
rancards	r a n k a r d
rancart	r a n C i t
rancarts	r a n C i t
rance	r a n C i e
rances	r a n C i m 3 s
ranch	r a n C
ranchs	r a n C
ranci	r a n C i
rancie	r a n C i i e
rancies	r a n C y e
rancîmes	r a n C i 3 8 i m 3 s
rancir	r a n l
rancira	r a n l
rancirai	r a n C i i r a i
ranciraient	r a n l
rancirais	r a n l a i s
rancirait	r a n l a i t
ranciras	r a n l a s
rancirent	r a n l
rancirez	r a n l m u
ranciriez	r a n l e z
rancirions	r a n l o* s
rancirons	r a n l o* s
ranciront	r a n l o n s
rancis	r a n C i i s
rancissaient	r a n C i w s e i e n t
rancissais	r a n C i w s e i s
rancissait	r a n C i w s a i t
rancissant	r a n C i i 7 i
rancisse	r a n C i w s e
rancissent	r a n C i s o n t
rancisses	r a n C i s e
rancissez	r a n C i s e z
rancissiez	r a n C i i s s i e z
rancissions	r a n C i i s s i o* s
rancissons	r a n C y a d a m i
rancit	r a n C i i t
rancît	r a n C i i S t i
rancîtes	r a n C i i S t i m 3 s
rancœur	r a n k u r
rançon	r a n o n
rançonna	r a n o* n a
rançonnai	r a n o* n a i
rançonnaient	r a n o
rançonnais	r a n o i s
rançonnait	r a n o* n a i t
rançonnâmes	r a n o* n a 8 i m 3 s
rançonnant	r a n o n t
rançonnas	r a n o* n 3 s
rançonnasse	r a n o* n 3 s o s e
rançonnassent	r a n o* n a s o n t
rançonnasses	r a n o* n a s e
rançonnassiez	r a n o* n a s s i e z
rançonnassions	r a n o* n a s s i o* s
rançonnât	r a n o* n o t
rançonnâtes	r a n o* n a t i m 3 s
rançonne	r a n o* n e
rançonné	r a n o* n e
rançonnée	r a n o* n a j
rançonnées	r a n o* n e m 3 s
rançonnent	r a n o*
rançonner	r a n o* n 3 q
rançonnera	r a n o* n e r a
rançonnerai	r a n o* n e r a i n
rançonneraient	r a n o* n e r a i n
rançonnerais	r a n o* n e r a i s
rançonnerait	r a n o* n e r a i t
rançonneras	r a n o* a gw~ a a s
rançonnèrent	r a n o* n e r e n t
rançonnerez	r a n o* n e r a
rançonneriez	r a n o* n e r i
rançonnerions	r a n o* n e r i o* s
rançonnerons	r a n o* n e r o* s
rançonneront	r a n o* n e r o n s
rançonnes	r a n o* n i
rançonnés	r a n o* n e
rançonnez	r a n o* n e z
rançonniez	r a n o* n i e z
rançonnions	r a n o* n i o* s
rançonnons	r a n o* ndw$ a
rançons	r a n o* s
rancune	r a n k u n e
rancunes	r a n k u n i
rancunier	r a n k u n i e r
rancunière	r a n k u n i e
rancunières	r a n k u n i e r e
rancuniers	r a n k u n i e r
randomisation	r a n d o m i s a t i o n 3
randomisations	r a n d o m i s a t i o* s
randonné	r a n d o* n e
randonnée	r a n d o* n a j
randonnées	r a n d o* n e m 3 s
randonnés	r a n d o* n e
randonneur	r a n d o* S u r
randonneurs	r a n d o* S u r
randonneuse	r a n d o* S u s e
randonneuses	r a n d o* S e
rang	r a N
range	r a N a
rangé	r a N e
rangea	r a N 3 s a
rangeai	r a N 3 s a i
rangeaient	r a N 3 s a
rangeais	r a N 3 s a i s
rangeait	r a N 3 s a i t
rangeâmes	r a N 3 s  m 3 s
rangeant	r a N 3 s i
rangeas	r a N 3 s 3 s
rangeasse	r a N E s d s e
rangeassent	r a N 3 s n i o n t
rangeasses	r a N 3 s n i e
rangeassiez	r a N 3 s n i i e z
rangeassions	r a N 3 s n i i o* s
rangeât	r a N 3 s o t
rangeâtes	r a N 3 s a t i m 3 s
rangée	r a N a j
rangées	r a N e m 3 s
rangement	r a N E m E n t
rangements	r a N E m E nt~ u
rangent	r a N E n t
rangeons	r a N 3 s o* s
ranger	r a N e r
rangera	r a N E r a
rangerai	r a N e r a i n
rangeraient	r a N e r a i n
rangerais	r a n g 3 r a i s
rangerait	r a n g 3 r a i t
rangeras	r a N a a s
rangèrent	r a N e r e n t
rangerez	r a N e r a
rangeriez	r a N e r i
rangerions	r a N e r i o* s
rangerons	r a N e r o* s
rangeront	r a N e r o n s
ranges	r a N 3 s a
rangés	r a N e
rangez	r a N e z
rangiez	r a N i e z
rangions	r a N i o* s
rangs	r a N
ranima	r a n i m a
ranimai	r a n i m a i
ranimaient	r a n i m a
ranimais	r a n i m a i s
ranimait	r a n i m a i t
ranimâmes	r a n i m o 8 i m 3 s
ranimant	r a n i m a
ranimas	r a n i m a s
ranimasse	r a n i m a s s e
ranimassent	r a n i m a s o n t
ranimasses	r a n i m a s e
ranimassiez	r a n i m a s s i e z
ranimassions	r a n i m a s s i o* s
ranimât	r a n i m o t
ranimâtes	r a n i m o t e
ranime	r a n i m e
ranimé	r a n i m e
ranimée	r a n i m a j
ranimées	r a n i m u m 3 s
raniment	r a n i m E n t
ranimer	r a n i *
ranimera	r a n i *
ranimerai	r a n i m e r a i n
ranimeraient	r a n i *
ranimerais	r a n i * a i s
ranimerait	r a n i * a i t
ranimeras	r a n i * a s
ranimèrent	r a n i m 3 r e n t
ranimerez	r a n i * m u
ranimeriez	r a n i * e z
ranimerions	r a n i * o* s
ranimerons	r a n i * o* s
ranimeront	r a n i * n t a 5 a
ranimes	r a n i 8 i m 3 s
ranimés	r a n i m u
ranimez	r a n i m e z
ranimiez	r a n i m i e z
ranimions	r a n i m i o* s
ranimons	r a n i m o* s
raout	r a o u t
raouts	r a o u c
rap	r a p
râpa	r o p a
rapace	r a p a k e
rapaces	r a p a k m 3 s
râpai	r o p a i
râpaient	r o p a i e n t
râpais	r o p a i s
râpait	r o p a i t
râpâmes	r o p  m 3 s
râpant	r o p a n t
